annotator_id,text_ids
19,"['7083188_gab', '1178958645138264071_twitter', '15813856_gab', '10147013_gab', '1179072076801462273_twitter', '1505491_gab', '1179021420971593728_twitter', '21376810_gab', '15447448_gab', '17965027_gab', '5848105_gab', '22427081_gab', '1178607326833577985_twitter', '14573670_gab', '1179104812924899329_twitter', '22494427_gab', '25532099_gab', '27431724_gab', '13820195_gab', '12095199_gab']"
20,"['25878730_gab', '1163406186932264960_twitter', '1766534_gab', '15062922_gab', '9377220_gab', '6088273_gab', '24384817_gab', '1179086793259573250_twitter', '21037896_gab', '12294779_gab', '12420286_gab', '14606529_gab', '13509836_gab', '24540668_gab', '19629599_gab', '26534972_gab', '15435117_gab', '1080940449257455616_twitter', '22919778_gab', '17188226_gab']"
21,"['1179085970588815360_twitter', '1179058458160705537_twitter', '1178981720839749634_twitter', '1179033768004186113_twitter', '1178958595443945472_twitter', '1178827098921865216_twitter', '1178675656634372096_twitter', '1178837354208993282_twitter', '1179064024094400512_twitter', '1178969630825684992_twitter', '1178845692007075841_twitter', '1178706014507548675_twitter', '19377557_gab', '18235429_gab', '1178352167037607938_twitter', '1179017395727405056_twitter', '1179035794608197632_twitter', '1178796473175220230_twitter', '1179000569140137984_twitter', '1179098364572364802_twitter']"
22,"['1179056260169134082_twitter', '1178969630825684992_twitter', '1179089450258829312_twitter', '1178869929250054149_twitter', '1179062513071218691_twitter', '1179094896637988864_twitter', '1179098555606130689_twitter', '1179000607387971587_twitter', '1179099449152266240_twitter', '1179081620541841408_twitter', '1178773823933550592_twitter', '1179033880386506753_twitter', '1178251992801533952_twitter', '1178340996955947008_twitter', '1179081234913333251_twitter', '1179080060365676544_twitter', '1179102570943528961_twitter', '1179053864827445248_twitter', '1179102626207686657_twitter', '1179103646509912064_twitter']"
23,"['17994158_gab', '12039698_gab', '24869441_gab', '25646413_gab', '21005747_gab', '6175208_gab', '21202566_gab', '21463925_gab', '16752837_gab', '24133934_gab', '14312554_gab', '26185198_gab', '15044961_gab', '11599170_gab', '27346316_gab', '11933625_gab', '9743054_gab', '22665649_gab', '9788820_gab', '14102861_gab']"
24,"['16878503_gab', '22668176_gab', '12451124_gab', '8888588_gab', '13799524_gab', '25180786_gab', '7756008_gab', '22421440_gab', '6144966_gab', '23569126_gab', '24265566_gab', '22500380_gab', '14375005_gab', '22787853_gab', '15153292_gab', '21202566_gab', '7615090_gab', '18346631_gab', '4120510_gab', '12131802_gab']"
25,"['1181666173274001408_twitter', '1118565994363015177_twitter', '1178883009921130497_twitter', '1179018388489854976_twitter', '1179089443417808896_twitter', '1179084603115626497_twitter', '1179097091089371137_twitter', '1121910981171523585_twitter', '13914769_gab', '1145961984325799936_twitter', '17589703_gab', '1116946053478125571_twitter', '1117477715081408512_twitter', '23896536_gab', '1179087143056093185_twitter', '1179048516058075136_twitter', '1178750862811963394_twitter', '9056566_gab', '1187319264614801408_twitter', '1090035315144822784_twitter']"
26,"['6098659_gab', '24332040_gab', '20773435_gab', '20887656_gab', '27346316_gab', '27023353_gab', '18165276_gab', '25346039_gab', '20202278_gab', '18229799_gab', '13146695_gab', '24495529_gab', '1179093794693828609_twitter', '15043126_gab', '21573075_gab', '17539352_gab', '3726243_gab', '24921934_gab', '17070914_gab', '22793395_gab']"
27,"['2064251_gab', '13359217_gab', '1178851803296927744_twitter', '16088481_gab', '21353838_gab', '20120250_gab', '1178766373679271936_twitter', '15062597_gab', '24032034_gab', '11794553_gab', '4834165_gab', '14656329_gab', '26249888_gab', '24416711_gab', '5650980_gab', '18452832_gab', '15373884_gab', '13794784_gab', '14524893_gab', '22491010_gab']"
28,"['1122520359008231425_twitter', '1187319809861509121_twitter', '1126660652964175878_twitter', '16112841_gab', '1184679550007029760_twitter', '1122150832445775874_twitter', '1170625305519820801_twitter', '1104487527765823488_twitter', '1117963226719764480_twitter', '1178444478023180289_twitter', '1143852094220193792_twitter', '1162594605868576768_twitter', '1180870622861127681_twitter', '1171703732406489088_twitter', '1160689817224654848_twitter', '1088092706457440256_twitter', '1122009786361368576_twitter', '1105198550361751552_twitter', '1084541070480789504_twitter', '1178516230098976769_twitter']"
29,"['1178957467276976129_twitter', '1178888125386559488_twitter', '18744452_gab', '1178969629001224192_twitter', '17827276_gab', '1179054822462574592_twitter', '1179056562423422977_twitter', '1179090261110071298_twitter', '1178562125117173760_twitter', '1178777944493318145_twitter', '1179025353160851456_twitter', '20055826_gab', '1178625800397934593_twitter', '24643552_gab', '22808088_gab', '1179084969358086147_twitter', '23200662_gab', '12845220_gab', '1178688339018469379_twitter', '1179030288065859585_twitter']"
30,"['1178992202342494208_twitter', '25084697_gab', '1179009744280924161_twitter', '1179072662552768512_twitter', '1178919349131845632_twitter', '1179068820939530241_twitter', '1178969000153214976_twitter', '1178975058422665217_twitter', '1178785323863527424_twitter', '1179017904743952384_twitter', '1178748226859655168_twitter', '1179050257000341504_twitter', '1178457629754118144_twitter', '19530127_gab', '19713958_gab', '1178864378466226176_twitter', '1178899742769778688_twitter', '1179061758968901635_twitter', '1178588105164632064_twitter', '22683065_gab']"
31,"['18088580_gab', '26085219_gab', '1178674557990912001_twitter', '1178795269409910784_twitter', '1178124477856546816_twitter', '14157011_gab', '1178507170645762049_twitter', '1178795657336889345_twitter', '21496378_gab', '27656195_gab', '1179070248470888448_twitter', '1178780987049889794_twitter', '1178847092770426880_twitter', '1178029165603426304_twitter', '1178762649187868674_twitter', '1179000400810168320_twitter', '1179090343251329024_twitter', '1179104012831993856_twitter', '1179086677018587136_twitter', '1179080121271177224_twitter']"
32,"['24348147_gab', '8039584_gab', '14874213_gab', '17279436_gab', '16728755_gab', '10472215_gab', '13455893_gab', '21562353_gab', '1179099489165926401_twitter', '20737742_gab', '24472750_gab', '19589481_gab', '1517164_gab', '19897941_gab', '27000152_gab', '1178780987049889794_twitter', '1179098334100938752_twitter', '17345919_gab', '16289676_gab', '3718243_gab']"
33,"['1179100120882843649_twitter', '1177933241099194368_twitter', '1179028959029276672_twitter', '1178355699731943424_twitter', '1179025932666847235_twitter', '12767758_gab', '24817947_gab', '1179066256848113664_twitter', '1179105542783950848_twitter', '1178208869706850305_twitter', '17474395_gab', '1178483586208538624_twitter', '1179049576562606080_twitter', '20310954_gab', '1178859522858917888_twitter', '1179074290077110273_twitter', '1178902223868370944_twitter', '1178896136511336454_twitter', '1179093501155233792_twitter', '1178996968170893312_twitter']"
34,"['23696117_gab', '1178999584342908928_twitter', '1178715933357019137_twitter', '1179043438131417088_twitter', '1179016717604937728_twitter', '2149515_gab', '1178859117261283328_twitter', '1178646784643612672_twitter', '12793749_gab', '1178649370222137344_twitter', '1178626327307522048_twitter', '15990522_gab', '4813870_gab', '7565490_gab', '1179023479867396097_twitter', '24949183_gab', '1178694587461832704_twitter', '1179105198498877440_twitter', '1178625800397934593_twitter', '1178763591153008646_twitter']"
35,"['1179079789795299328_twitter', '1178665603302858752_twitter', '1178120616467161089_twitter', '1177927419740770304_twitter', '10618535_gab', '19399094_gab', '1179092356047540225_twitter', '23332294_gab', '1179095548453883906_twitter', '1178801987653160960_twitter', '1179027116936974337_twitter', '1178016367200624640_twitter', '2098760_gab', '1178129349788098560_twitter', '18875062_gab', '1178421242149425153_twitter', '1178791069032603648_twitter', '16516212_gab', '1179082009194332160_twitter', '1178504094530424833_twitter']"
36,"['20448852_gab', '1179049202854350848_twitter', '1178819339631431680_twitter', '1178477971960672257_twitter', '1178878538075688961_twitter', '1178926649422864384_twitter', '1179099146432724992_twitter', '1178856832074424325_twitter', '1178016367200624640_twitter', '1178503399962300416_twitter', '1179050447082004480_twitter', '1178845178985156608_twitter', '12977068_gab', '14680382_gab', '1178273282610667522_twitter', '1179056757168955392_twitter', '1178928604538970113_twitter']"
37,"['1178724498297651200_twitter', '1178588105164632064_twitter', '1178735715204653062_twitter', '1178727925941559296_twitter', '1178881031136403456_twitter', '1177463940185374720_twitter', '1178125455725072385_twitter', '1178761536581578758_twitter', '1178735945606221824_twitter', '1179039195228065794_twitter', '1179060076474195970_twitter', '1179095090590969857_twitter', '1178861976702849024_twitter', '1178302799643365378_twitter', '1178724674555002880_twitter', '1179092217610285056_twitter', '1179016598574600192_twitter', '1178623797286424576_twitter', '11927880_gab', '1179004510993289216_twitter']"
38,"['1178913839628337154_twitter', '1178382366080950276_twitter', '1178758526145089538_twitter', '1178747464171556864_twitter', '1178720824070721536_twitter', '1179032044610801666_twitter', '1179038917590339584_twitter', '1178750146995089408_twitter', '1179104610461585415_twitter', '1179041911090188288_twitter', '1178420921255759873_twitter', '20055204_gab', '1179046615962849280_twitter', '1178677159382179840_twitter', '1178863259794849793_twitter', '1178780676100890624_twitter', '1178427236686409728_twitter', '15205493_gab', '1179039985175060486_twitter', '1178783381934526465_twitter']"
39,"['1178835726768705537_twitter', '1178623797286424576_twitter', '27934899_gab', '1178276990559801344_twitter', '1178842875490131968_twitter', '1179047465502363648_twitter', '1178773823933550592_twitter', '1179061323696660483_twitter', '27948516_gab', '1178803884443090945_twitter', '1179030484023689216_twitter', '1179105382037254144_twitter', '1178305106116333570_twitter', '20606774_gab', '1179104323554426880_twitter', '1178914996580839424_twitter', '1179013337008480256_twitter', '25605196_gab', '12671512_gab', '1179065785030975488_twitter']"
40,"['18721090_gab', '17402205_gab', '15391263_gab', '25902138_gab', '23018207_gab']"
41,"['14613167_gab', '16811040_gab', '9658057_gab', '1160698411370369024_twitter', '11252192_gab', '21920155_gab', '15697999_gab', '15314538_gab', '8607173_gab', '24569622_gab', '26967794_gab', '11004916_gab', '25715452_gab', '24192836_gab', '4565102_gab', '26420457_gab', '14033897_gab', '1178517146977984512_twitter', '27033117_gab', '1178696848527314944_twitter']"
42,"['23770018_gab', '1179071487623475201_twitter', '1621695_gab', '1179074111076814848_twitter', '18827367_gab', '17589703_gab', '1178196619159670784_twitter', '15539140_gab', '1179090761125695488_twitter', '1178916504215183360_twitter', '6016299_gab', '1178672292127223809_twitter', '1178842919773581312_twitter', '1178876922362658816_twitter', '1179097340394819586_twitter', '1178649928920391685_twitter', '1178050983923982337_twitter', '4066175_gab', '1178852220424445952_twitter', '1178834761533407232_twitter']"
43,"['1081879537145835520_twitter', '8741670_gab', '1173735134492798982_twitter', '20397206_gab', '1124336605878263810_twitter', '26003312_gab', '25921778_gab', '21674253_gab', '1084699485148798977_twitter', '18138686_gab', '7238570_gab', '1185551143167913984_twitter', '21887359_gab', '13587865_gab', '18144033_gab', '25678950_gab', '12423952_gab', '16172106_gab', '13756411_gab', '1086836550153973760_twitter']"
44,"['1178401026308636672_twitter', '1178771954796568577_twitter', '1178859010931322880_twitter', '1178692322541760512_twitter', '1178750868503457793_twitter', '11652290_gab', '21979713_gab', '1178720035604271108_twitter', '1178806607024705536_twitter', '1178642248004751365_twitter', '12977968_gab', '1178845742468870144_twitter', '20055328_gab', '1178782596064407552_twitter', '1178500111845904385_twitter', '1179010444452864002_twitter', '1179019377481572352_twitter', '1179097323265089536_twitter', '1179076651834957825_twitter', '3YOAVL4CA0IGUN4ZMDD3R483J064ZV_nf_3']"
45,"['17825834_gab', '14288348_gab', '25691008_gab', '1179079106199203840_twitter', '1179042534510563329_twitter', '1178818613362544640_twitter', '1179070303772610565_twitter', '1179014642372362241_twitter', '1178846887425654784_twitter', '1178546741160792064_twitter', '22939146_gab', '18221064_gab', '1178762141408608256_twitter', '1178813843608231936_twitter', '1178750958718914561_twitter', '1178850696172584961_twitter', '1177308686190092289_twitter', '1178752360291520512_twitter', '20448158_gab', '1179010851455545345_twitter']"
46,"['27519064_gab', '1733085_gab', '12065967_gab', '1178757488914681857_twitter', '13600554_gab', '1179049465929441281_twitter', '25678950_gab', '19589481_gab', '15356923_gab', '18559639_gab', '20820201_gab', '13532804_gab', '9587714_gab', '24476033_gab', '20606774_gab', '2037223_gab', '15402547_gab', '1178857982722920449_twitter', '1179030757555261440_twitter', '13493684_gab']"
47,"['25843233_gab', '7512357_gab', '12763421_gab', '15481820_gab', '17646823_gab', '26345095_gab', '17464469_gab', '16460769_gab', '3396176_gab', '14589613_gab', '26974934_gab', '17991896_gab', '21519792_gab', '20121173_gab', '24220727_gab', '15337734_gab', '22358188_gab', '20606196_gab', '1035940_gab', '2867627_gab']"
48,"['17564174_gab', '1177993358284865536_twitter', '1178822711629504512_twitter', '1178830963931045889_twitter', '15337378_gab', '1178167876303360001_twitter', '1178997417456349184_twitter', '20448576_gab', '20317635_gab', '1178926045044457472_twitter', '1178948520201637888_twitter', '1178605804292837376_twitter', '1178758216383107074_twitter', '14025455_gab', '13370491_gab', '25429665_gab', '13501213_gab', '1178715615651086336_twitter', '1178573414929518592_twitter', '1178851645393920001_twitter']"
49,"['1179103843025424384_twitter', '1178822496205889538_twitter', '1178681122911330304_twitter', '27002468_gab', '1178827243260395520_twitter', '12846110_gab', '27789001_gab', '12583939_gab', '1178948001655599109_twitter', '1177610924775088135_twitter', '20448576_gab', '7079908_gab', '1177996576410804231_twitter', '1179099136349626368_twitter', '1178302251267477504_twitter', '20972048_gab', '1178971871011672064_twitter', '1178518039655927809_twitter', '17433914_gab', '1179096686775414784_twitter']"
50,"['1179093651793817601_twitter', '1179085263143915520_twitter', '22393483_gab', '12904097_gab', '1179068531188621318_twitter', '22345411_gab', '18532486_gab', '12043182_gab', '5617428_gab', '16618719_gab', '1179001014021689345_twitter', '26801104_gab', '3201658_gab', '15724226_gab', '1179072047479234562_twitter', '1178842143768678400_twitter', '9294761_gab', '25944151_gab', '1179094037166481409_twitter', '6094289_gab']"
51,"['1178739085378293760_twitter', '1178305709542236169_twitter', '1179083349291233280_twitter', '1178771217815343105_twitter', '1179089946507988996_twitter', '1179000518242422784_twitter', '1178788959679172608_twitter', '13929223_gab', '1179094291731247104_twitter', '12955204_gab', '1179047499216179202_twitter', '21807183_gab', '27948460_gab', '1179105500018823169_twitter', '1179100501297774596_twitter', '1179094237524086784_twitter', '1178856299171373057_twitter', '1179047552412307458_twitter', '14781705_gab', '1179095232358432769_twitter']"
52,"['1179101780023664640_twitter', '1178861600427560961_twitter', '1178631556946157568_twitter', '14013370_gab', '1179097970899329024_twitter', '1179005981235335169_twitter', '1179062376588627968_twitter', '5238165_gab', '4436220_gab', '1179096201754533895_twitter', '21563650_gab', '1179041789442973696_twitter', '1179038144466833409_twitter', '27232945_gab', '1178899952619028487_twitter', '1179063164672958465_twitter', '1178752941462839296_twitter', '1178323077282897920_twitter', '1179088963962884096_twitter', '1178712835800653824_twitter']"
53,"['1178665276876959746_twitter', '1178784164931391489_twitter', '1179097859154595841_twitter', '1178665603302858752_twitter', '1178867086086553606_twitter', '1179049691251642369_twitter', '19923814_gab', '1178746746224156673_twitter', '13239417_gab', '27542487_gab', '14549463_gab', '1179078038673395712_twitter', '1178702798063636481_twitter', '1179097500042584064_twitter', '1178908074972565504_twitter', '15073757_gab', '20374990_gab', '1178804375424249862_twitter', '25563686_gab', '1178945425463808000_twitter']"
54,"['9658057_gab', '23500303_gab', '22446944_gab', '12948507_gab', '18231995_gab', '1178329461516886026_twitter', '13173409_gab', '1178508263199006725_twitter', '14691844_gab', '19266458_gab', '1178827615811067904_twitter', '1178783093341048832_twitter', '7164097_gab', '19350480_gab', '6874145_gab', '18638764_gab', '1179068419120889856_twitter', '10318118_gab', '1179076551863717889_twitter', '9270134_gab']"
55,"['13286525_gab', '1179081645371998208_twitter', '1179072007289397248_twitter', '1178992145933459456_twitter', '24643552_gab', '17177315_gab', '10398470_gab', '13078627_gab', '4368591_gab', '1179073601556889600_twitter', '1179093201191362560_twitter', '1178784446952161281_twitter', '12294779_gab', '1178003495070371840_twitter', '1178712422841847809_twitter', '26226646_gab', '23594961_gab', '13438032_gab', '1179067950428491777_twitter', '1178662707047931904_twitter']"
56,"['12192979_gab', '21535984_gab', '9097672_gab', '1179101133488283649_twitter', '27268799_gab', '20336013_gab', '10904919_gab', '25319944_gab', '16744089_gab', '1179023905446666240_twitter', '7253829_gab', '25519171_gab', '1178718171714457601_twitter', '1178802459382337537_twitter', '20430321_gab', '1178854574683279360_twitter', '1179060894988410882_twitter', '1179032532483883008_twitter', '15226898_gab', '24876858_gab']"
57,"['22149331_gab', '12816900_gab', '24289781_gab', '15152821_gab', '21657308_gab', '17049940_gab', '22977810_gab', '23701272_gab', '26821350_gab', '15231597_gab', '15459655_gab', '20758041_gab', '14405099_gab', '26178271_gab', '2745161_gab', '23115923_gab', '4015071_gab', '17789015_gab', '15979583_gab', '13133876_gab']"
58,"['1178102999090188290_twitter', '27002623_gab', '1178827967323082759_twitter', '1181358353290678273_twitter', '27526193_gab', '19520125_gab', '1178752135816724481_twitter', '1178938235466084352_twitter', '3LEG2HW4UFO0MSYCHN08VXVNNHG2F9_nf_1', '1178831184966684673_twitter', '1178925606307844097_twitter', '1179041825056870400_twitter', '1178899984038682625_twitter', '15837704_gab', '1178732019632758785_twitter', '1178323876603924480_twitter', '24873800_gab', '1178197603697283072_twitter', '1082310443161403392_twitter', '1098473118127972352_twitter']"
59,"['1179078847142273024_twitter', '1178978764795068417_twitter', '1179021145682501633_twitter', '1179000566309150720_twitter', '22020477_gab', '1179072144724103170_twitter', '1179059422531915789_twitter', '17433253_gab', '1179011901629587467_twitter', '19138333_gab', '1179054349517021185_twitter', '18350386_gab', '1177702329086283776_twitter', '1179081578326085632_twitter', '1178039605427200001_twitter', '17826383_gab', '1178011556908535808_twitter', '1178261446683234304_twitter', '1179033238477721600_twitter', '1178949806443679744_twitter']"
60,"['1179104697505857536_twitter', '1179080179236458496_twitter', '1179078375454826496_twitter', '24958083_gab', '1179036289313587201_twitter', '1178003495070371840_twitter', '1178970303491461120_twitter', '1178971709975728128_twitter', '1179097658306301953_twitter', '1178468147327729664_twitter', '1179082640625995780_twitter', '1178850695212142592_twitter', '23329859_gab', '1177801777154052096_twitter', '22182440_gab', '1179058608572682240_twitter', '15513414_gab', '17428728_gab', '1179008458680606720_twitter', '1178784446952161281_twitter']"
61,"['15891136_gab', '1166402991970299904_twitter', '10372292_gab', '13380422_gab', '22168671_gab', '1160816648783159296_twitter', '13533955_gab', '18227578_gab', '13362221_gab', '11957582_gab', '16002165_gab', '16293427_gab', '1105049342203887618_twitter', '1123587431884886017_twitter', '15883236_gab', '1477840_gab', '4893156_gab', '15920501_gab', '1180765350025207808_twitter', '18859801_gab']"
62,"['24032034_gab', '21078205_gab', '21155705_gab', '24824526_gab', '10989570_gab', '14715730_gab', '2551865_gab', '10507720_gab', '13102774_gab', '22398621_gab', '15344587_gab', '20978633_gab', '11348074_gab', '26107989_gab', '19204201_gab', '16591775_gab', '16277244_gab', '17737150_gab', '23154870_gab', '9441299_gab']"
63,"['16591775_gab', '21353838_gab', '22513839_gab', '27872681_gab', '3684282_gab', '15292729_gab', '27980196_gab', '25936705_gab', '6678426_gab', '1177956379073474560_twitter', '24977552_gab', '20403583_gab', '13756324_gab', '23991722_gab', '13813737_gab', '16561139_gab', '20080085_gab', '26699755_gab', '23291412_gab', '17524246_gab']"
64,"['1179096976425701378_twitter', '1179100754747023361_twitter', '24981812_gab', '27037471_gab', '20050318_gab', '1178879023528566784_twitter', '1178713178936676354_twitter', '11632794_gab', '8210379_gab', '1179042271892627461_twitter', '3718125_gab', '19679152_gab', '1178722554695049216_twitter', '1178711410706173952_twitter', '16982012_gab', '18494335_gab', '1178816674428010499_twitter', '1178998399418408961_twitter', '8525524_gab', '8279790_gab']"
